slug,source,severity,score,recommendedFix,issues
morning-breakfast,static,Pass,95,유지,
morning-coffee,static,Pass,95,유지,
morning-commute,static,Pass,95,유지,
morning-energy,static,Pass,95,유지,
morning-mood,static,Pass,95,유지,
morning-outfit,static,Pass,95,유지,
morning-phone,static,Pass,95,유지,
morning-rush,static,Pass,95,유지,
morning-shower,static,Pass,95,유지,
movie-theater-style,static,Pass,95,유지,
music-taste,static,Pass,95,유지,
noodle-eating,static,Pass,95,유지,
ntrp-test,static,Pass,95,유지,
online-food,static,Pass,95,유지,
ott-habits,static,Pass,95,유지,
pet-mbti,static,Pass,95,유지,
phone-app-organization,static,Pass,95,유지,
phone-backup,static,Pass,95,유지,
phone-battery,static,Pass,95,유지,
phone-message,static,Pass,95,유지,
phone-notification,static,Pass,95,유지,
phone-payment,static,Pass,95,유지,
phone-photo,static,Pass,95,유지,
phone-search,static,Pass,95,유지,
phone-social-media,static,Pass,95,유지,
phone-storage,static,Pass,95,유지,
phone-style,static,Pass,95,유지,
phone-usage,static,Pass,95,유지,
pizza-topping,static,Pass,95,유지,
ramen-mbti,static,Pass,95,유지,
restaurant-ambiance,static,Pass,95,유지,
restaurant-choice,static,Pass,95,유지,
restaurant-menu,static,Pass,95,유지,
restaurant-price,static,Pass,95,유지,
restaurant-reservation,static,Pass,95,유지,
restaurant-service,static,Pass,95,유지,
rice-eating,static,Pass,95,유지,
salad-dressing,static,Pass,95,유지,
shopping-style,static,Pass,95,유지,
shower-habit,static,Pass,95,유지,
skin-routine,static,Pass,95,유지,
sleep-chronotype,static,Pass,95,유지,
snack-preference,static,Pass,95,유지,
snack-time,static,Pass,95,유지,
snowwhite-mbti,static,Pass,95,유지,
sock-wearing,static,Pass,95,유지,
soup-eating,static,Pass,95,유지,
soup-vs-bibim,static,Pass,95,유지,
spending-style,static,Pass,95,유지,
spice-tolerance,static,Pass,95,유지,
stew-vs-soup,static,Pass,95,유지,
store-choice,static,Pass,95,유지,
study-mbti,static,Pass,95,유지,
subway-vs-bus,static,Pass,95,유지,
taste-preference,static,Pass,95,유지,
travel-style,static,Pass,95,유지,
water-drinking,static,Pass,95,유지,
weekend-balance,static,Pass,95,유지,
weekend-chore,static,Pass,95,유지,
weekend-food,static,Pass,95,유지,
weekend-hobby,static,Pass,95,유지,
weekend-lazy,static,Pass,95,유지,
weekend-planning,static,Pass,95,유지,
weekend-rest,static,Pass,95,유지,
weekend-shopping,static,Pass,95,유지,
weekend-social,static,Pass,95,유지,
weekend-travel,static,Pass,95,유지,
youtube-habit,static,Pass,95,유지,
zombie-survival,static,Pass,95,유지,
