page,query,clicks,impressions,ctrPercent,position,opportunityScore
https://temon.kr/tests/perfection-balance-1xQC,완벽주의 테스트,0,77,0.00%,7.12987012987013,3.08
https://temon.kr/tests,테스트 모음,4,170,2.35%,8.488235294117647,2.8
https://temon.kr/,테스트 모음,9,286,3.15%,8.84965034965035,2.44
https://temon.kr/,mbti test 한국어,0,55,0.00%,8.927272727272728,2.2
https://temon.kr/,테스트 사이트,0,55,0.00%,11,2.2
https://temon.kr/,재밌는 테스트,0,43,0.00%,10.325581395348838,1.72
https://temon.kr/,재밌는 테스트 사이트,2,89,2.25%,7.247191011235955,1.56
https://temon.kr/,mbti 테스트 한국어,0,39,0.00%,8.282051282051281,1.56
https://temon.kr/,mbti 검사 무료 사이트,0,35,0.00%,8.2,1.4
https://temon.kr/tests,성향 테스트 모음,0,31,0.00%,9.709677419354838,1.24
https://temon.kr/tests/zombie-survival,좀비 아포칼립스 테스트,0,26,0.00%,7.538461538461538,1.04
https://temon.kr/tests,테스트,0,42,0.00%,33.976190476190474,0.92
https://temon.kr/,mbti 테스트 사이트,0,22,0.00%,8.727272727272727,0.88
https://temon.kr/tests/sleep-chronotype,크로노타입 테스트,0,19,0.00%,9.894736842105264,0.76
https://temon.kr/tests/spending-style,소비성향테스트,0,18,0.00%,9.555555555555555,0.72
https://temon.kr/tests/spring-change-drive-zy00,테스트봄,0,17,0.00%,6.117647058823529,0.68
https://temon.kr/,mbti 재밌는 테스트,0,14,0.00%,9.214285714285714,0.56
https://temon.kr/,mbti테스트,0,14,0.00%,13.857142857142858,0.56
https://temon.kr/,성격테스트 사이트,0,14,0.00%,7.642857142857143,0.56
https://temon.kr/tests,재밌는 테스트,1,38,2.63%,8.473684210526315,0.52
https://temon.kr/,mbti 무료 검사 사이트,0,13,0.00%,10.846153846153847,0.52
https://temon.kr/tests/scent-rest-type-pS0q,향수 취향 테스트,0,13,0.00%,8.615384615384615,0.52
https://temon.kr/tests/zombie-survival,좀비아포칼립스 테스트,0,13,0.00%,6.615384615384615,0.52
https://temon.kr/tests,심리테스트 사이트,1,37,2.70%,11.837837837837839,0.48
https://temon.kr/,mbti 한국어 테스트,0,12,0.00%,8.583333333333332,0.48
https://temon.kr/,재미있는 테스트 모음,0,12,0.00%,12.083333333333334,0.48
https://temon.kr/tests/spending-style,소비성향 테스트,0,12,0.00%,9.916666666666666,0.48
https://temon.kr/tests/zombie-survival,아포칼립스 테스트,0,12,0.00%,9.5,0.48
https://temon.kr/tests,재미있는 테스트 모음,0,11,0.00%,7.818181818181818,0.44
https://temon.kr/,테스트 모음 사이트,0,10,0.00%,9.5,0.4
https://temon.kr/tests,재밌는 테스트 사이트,1,33,3.03%,8.515151515151516,0.32
https://temon.kr/tests,테스트모음,1,32,3.13%,8.34375,0.28
https://temon.kr/tests,태스트,0,12,0.00%,27.166666666666668,0.26
https://temon.kr/tests,재미있는 테스트 사이트,1,29,3.45%,9.241379310344827,0.16
