source,slug,status,severity,score,summary,issues
static,food-budget,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-chewy,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-color-preference,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-combination,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-creamy,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-crispy,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-crunchy,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-delivery,,P2,70,cards=10; paragraphs=9; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-delivery-app,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-dipping,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-garnishing,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-garnishing-style,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-label,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-layering,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-mixing,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-new,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-ordering,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-photography,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-plating,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-portion,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-presentation,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-reheating,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-review,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-sale,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-saltiness,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-scooping,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-seasoning,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-sharing,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-sourness,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-spiciness,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-storage,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-sweetness,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-temperature,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-temperature-preference,,P2,70,cards=8; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-texture,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-timing,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-umami,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,food-waste,,P2,70,cards=11; paragraphs=10; faq=true,P2 static metadata missing | P2 console logging in result page
static,game-play-style,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,gift-choosing,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,gift-wrapping,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,grocery-shopping,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,hamburger-combo,,P2,70,cards=11; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,hotel-breakfast,,Pass,90,cards=8; paragraphs=8; faq=true,
static,instagram-story,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,investment-style,,Pass,90,cards=8; paragraphs=8; faq=true,
static,jachui,,P2,70,cards=10; paragraphs=9; faq=true,P2 static metadata missing | P2 console logging in result page
static,kakao-reply-style,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,karaoke-song,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,kdrama-character,,P2,70,cards=10; paragraphs=11; faq=true,P2 static metadata missing | P2 console logging in result page
static,kdrama-mbti,,P2,70,cards=5; paragraphs=24; faq=true,P2 English section title remains | P2 console logging in result page
