slug,source,severity,score,recommendedFix,issues
choice-lost-direction-ask,database-only,Pass,95,유지,
choice-lost-receipt-handling,database-only,Pass,95,유지,
choice-new-place-adaptation,database-only,Pass,95,유지,
choice-noise-complaint-style,database-only,Pass,95,유지,
choice-plan-b-ready,database-only,Pass,95,유지,
choice-public-device-use,database-only,Pass,95,유지,
choice-public-manner-check,database-only,Pass,95,유지,
choice-queue-line-choice,database-only,Pass,95,유지,
choice-repair-or-replace,database-only,Pass,95,유지,
choice-schedule-overlap-choice,database-only,Pass,95,유지,
choice-seat-choice-public,database-only,Pass,95,유지,
choice-small-risk-check,database-only,Pass,95,유지,
choice-time-gap-filling,database-only,Pass,95,유지,
choice-unexpected-call-response,database-only,Pass,95,유지,
choice-waiting-message-send,database-only,Pass,95,유지,
concert-standing-choice-P9px,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
coupon-saving-style-Z8L_,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
craft-kit-starting-n_-k,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
customer-inquiry-writing-UUva,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
daily-bag-lightening-wave4,database-only,Pass,95,유지,
daily-calendar-review-wave4,database-only,Pass,95,유지,
daily-closet-hanger-wave4,database-only,Pass,95,유지,
daily-delivery-unpack-wave4,database-only,Pass,95,유지,
daily-door-lock-check-wave4,database-only,Pass,95,유지,
daily-fridge-reset-wave4,database-only,Pass,95,유지,
daily-home-lighting-wave4,database-only,Pass,95,유지,
daily-house-chore-order-wave4,database-only,Pass,95,유지,
daily-laundry-sort-wave4,database-only,Pass,95,유지,
daily-morning-water-wave4,database-only,Pass,95,유지,
daily-night-charging-wave4,database-only,Pass,95,유지,
daily-receipt-box-wave4,database-only,Pass,95,유지,
daily-shoe-shelf-wave4,database-only,Pass,95,유지,
daily-sink-cleanup-wave4,database-only,Pass,95,유지,
daily-sleepwear-choice-wave4,database-only,Pass,95,유지,
daily-snack-drawer-wave4,database-only,Pass,95,유지,
daily-table-reset-wave4,database-only,Pass,95,유지,
daily-umbrella-check-wave4,database-only,Pass,95,유지,
dark-mode-choice-yotA,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
digital-ai-question-wave4,database-only,Pass,95,유지,
digital-app-folder-wave4,database-only,Pass,95,유지,
digital-backup-routine,database-only,Pass,95,유지,
digital-bookmark-sorting,database-only,Pass,95,유지,
digital-browser-extension-wave4,database-only,Pass,95,유지,
digital-chat-archive-wave4,database-only,Pass,95,유지,
digital-cloud-backup-wave4,database-only,Pass,95,유지,
digital-cloud-folder-rules,database-only,Pass,95,유지,
digital-desktop-wallpaper-choice,database-only,Pass,95,유지,
digital-device-battery-care,database-only,Pass,95,유지,
digital-device-update-wave4,database-only,Pass,95,유지,
digital-device-upgrade-timing,database-only,Pass,95,유지,
digital-digital-calendar-wave4,database-only,Pass,95,유지,
digital-digital-note-tagging,database-only,Pass,95,유지,
digital-digital-receipt-saving,database-only,Pass,95,유지,
digital-email-inbox-wave4,database-only,Pass,95,유지,
digital-email-label-rules,database-only,Pass,95,유지,
digital-file-name-wave4,database-only,Pass,95,유지,
digital-file-share-permission,database-only,Pass,95,유지,
digital-map-save-wave4,database-only,Pass,95,유지,
digital-memo-tag-wave4,database-only,Pass,95,유지,
digital-message-pin-habit,database-only,Pass,95,유지,
digital-messenger-muted-chat,database-only,Pass,95,유지,
digital-notification-badge-wave4,database-only,Pass,95,유지,
digital-online-cart-later,database-only,Pass,95,유지,
digital-online-profile-update,database-only,Pass,95,유지,
digital-online-review-wave4,database-only,Pass,95,유지,
digital-password-manager-wave4,database-only,Pass,95,유지,
digital-password-reset-response,database-only,Pass,95,유지,
digital-photo-duplicate-wave4,database-only,Pass,95,유지,
digital-profile-picture-wave4,database-only,Pass,95,유지,
digital-screen-time-wave4,database-only,Pass,95,유지,
digital-screenshot-cleanup,database-only,Pass,95,유지,
digital-search-bookmark-wave4,database-only,Pass,95,유지,
digital-search-history-cleanup,database-only,Pass,95,유지,
digital-shopping-cart-wave4,database-only,Pass,95,유지,
digital-video-queue-wave4,database-only,Pass,95,유지,
digital-video-watch-later,database-only,Pass,95,유지,
digital-voice-memo-review,database-only,Pass,95,유지,
document-review-pass-sGnI,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
download-folder-backlog-QUEd,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
drive-air-freshener-wave6,database-only,Pass,95,유지,
drive-car-snack-wave6,database-only,Pass,95,유지,
drive-dashcam-view-wave6,database-only,Pass,95,유지,
drive-dent-fix-wave6,database-only,Pass,95,유지,
drive-engine-warmup-wave6,database-only,Pass,95,유지,
drive-fuel-economy-wave6,database-only,Pass,95,유지,
drive-fuel-fill-wave6,database-only,Pass,95,유지,
drive-highway-speed-wave6,database-only,Pass,95,유지,
drive-honk-use-wave6,database-only,Pass,95,유지,
drive-lane-change-wave6,database-only,Pass,95,유지,
drive-music-drive-wave6,database-only,Pass,95,유지,
drive-nav-trust-wave6,database-only,Pass,95,유지,
drive-night-drive-wave6,database-only,Pass,95,유지,
drive-park-style-wave6,database-only,Pass,95,유지,
drive-passenger-care-wave6,database-only,Pass,95,유지,
drive-pedestrian-wait-wave6,database-only,Pass,95,유지,
drive-radio-listen-drive-wave6,database-only,Pass,95,유지,
drive-repair-timing-wave6,database-only,Pass,95,유지,
drive-reverse-park-wave6,database-only,Pass,95,유지,
drive-seatbelt-back-wave6,database-only,Pass,95,유지,
drive-tire-check-wave6,database-only,Pass,95,유지,
drive-traffic-jam-wave6,database-only,Pass,95,유지,
drive-wash-routine-wave6,database-only,Pass,95,유지,
drive-wiper-replace-wave6,database-only,Pass,95,유지,
drive-yellow-light-wave6,database-only,Pass,95,유지,
emoji-reaction-choice-DnDx,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
emotion-alone-reset-wave4,database-only,Pass,95,유지,
emotion-anger-cool-wave4,database-only,Pass,95,유지,
emotion-anger-cooldown-style,database-only,Pass,95,유지,
emotion-apology-readiness,database-only,Pass,95,유지,
emotion-apology-ready-wave4,database-only,Pass,95,유지,
emotion-bad-news-processing,database-only,Pass,95,유지,
emotion-comfort-object-choice,database-only,Pass,95,유지,
emotion-comfort-object-wave4,database-only,Pass,95,유지,
emotion-compliment-memory-wave4,database-only,Pass,95,유지,
emotion-criticism-response-wave4,database-only,Pass,95,유지,
emotion-decision-anxiety-care,database-only,Pass,95,유지,
emotion-decision-worry-wave4,database-only,Pass,95,유지,
emotion-embarrassment-recovery,database-only,Pass,95,유지,
emotion-energy-low-wave4,database-only,Pass,95,유지,
emotion-good-news-sharing,database-only,Pass,95,유지,
emotion-heart-boundary-wave4,database-only,Pass,95,유지,
emotion-lonely-evening-plan,database-only,Pass,95,유지,
emotion-memory-box-opening,database-only,Pass,95,유지,
emotion-memory-box-wave4,database-only,Pass,95,유지,
emotion-mood-music-choice,database-only,Pass,95,유지,
emotion-mood-note-wave4,database-only,Pass,95,유지,
emotion-new-environment-wave4,database-only,Pass,95,유지,
emotion-nostalgia-response,database-only,Pass,95,유지,
emotion-overthinking-stop,database-only,Pass,95,유지,
emotion-pride-expression,database-only,Pass,95,유지,
emotion-regret-handle-wave4,database-only,Pass,95,유지,
emotion-regret-review-style,database-only,Pass,95,유지,
emotion-sad-day-wave4,database-only,Pass,95,유지,
emotion-self-talk-wave4,database-only,Pass,95,유지,
emotion-sleep-thought-wave4,database-only,Pass,95,유지,
emotion-stress-room-reset,database-only,Pass,95,유지,
emotion-stress-signal-wave4,database-only,Pass,95,유지,
emotion-thanks-accept-wave4,database-only,Pass,95,유지,
emotion-thanks-acceptance,database-only,Pass,95,유지,
emotion-worry-note-style,database-only,Pass,95,유지,
emotion-worry-share-wave4,database-only,Pass,95,유지,
focus-music-choice-YZtD,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
free-sample-choice-_yxp,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
free-shipping-threshold-lRle,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
grocery-label-checking-u3NR,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
hobby-baking-try-wave5,database-only,Pass,95,유지,
hobby-board-game-wave5,database-only,Pass,95,유지,
hobby-bookshelf-tidy-wave5,database-only,Pass,95,유지,
hobby-bookstore-browsing,database-only,Pass,95,유지,
hobby-camping-prep-wave5,database-only,Pass,95,유지,
hobby-card-game-wave5,database-only,Pass,95,유지,
hobby-class-signup-wave5,database-only,Pass,95,유지,
hobby-collection-display,database-only,Pass,95,유지,
hobby-coloring-set-wave5,database-only,Pass,95,유지,
hobby-concert-seat-choice,database-only,Pass,95,유지,
hobby-craft-kit-wave5,database-only,Pass,95,유지,
hobby-craft-project-start,database-only,Pass,95,유지,
hobby-creative-block-response,database-only,Pass,95,유지,
hobby-cycle-ride-wave5,database-only,Pass,95,유지,
hobby-dance-class-wave5,database-only,Pass,95,유지,
hobby-drawing-reference-choice,database-only,Pass,95,유지,
hobby-drawing-time-wave5,database-only,Pass,95,유지,
hobby-embroidery-set-wave5,database-only,Pass,95,유지,
hobby-game-difficulty-choice,database-only,Pass,95,유지,
hobby-garden-care-wave5,database-only,Pass,95,유지,
hobby-hiking-route-wave5,database-only,Pass,95,유지,
hobby-hobby-budget-line,database-only,Pass,95,유지,
hobby-hobby-sharing-post,database-only,Pass,95,유지,
hobby-hobby-supply-shopping,database-only,Pass,95,유지,
hobby-home-cafe-setup,database-only,Pass,95,유지,
hobby-interior-shift-wave5,database-only,Pass,95,유지,
hobby-karaoke-pick-wave5,database-only,Pass,95,유지,
hobby-learning-kit-choice,database-only,Pass,95,유지,
hobby-meditation-min-wave5,database-only,Pass,95,유지,
hobby-movie-review-note,database-only,Pass,95,유지,
hobby-museum-night-wave5,database-only,Pass,95,유지,
hobby-music-practice-rhythm,database-only,Pass,95,유지,
hobby-photo-edit-wave5,database-only,Pass,95,유지,
hobby-photo-walk-route,database-only,Pass,95,유지,
hobby-playlist-curation,database-only,Pass,95,유지,
hobby-poem-read-wave5,database-only,Pass,95,유지,
hobby-pottery-class-wave5,database-only,Pass,95,유지,
hobby-radio-listen-wave5,database-only,Pass,95,유지,
hobby-reading-list-priority,database-only,Pass,95,유지,
hobby-solo-hobby-depth,database-only,Pass,95,유지,
hobby-video-cut-wave5,database-only,Pass,95,유지,
hobby-weekend-project-plan,database-only,Pass,95,유지,
hobby-workshop-participation,database-only,Pass,95,유지,
hobby-writing-start-wave5,database-only,Pass,95,유지,
hobby-yoga-flow-wave5,database-only,Pass,95,유지,
home-blanket-storage-style,database-only,Pass,95,유지,
home-cleaning-tool-choice,database-only,Pass,95,유지,
home-delivery-box-disposal,database-only,Pass,95,유지,
home-drawer-zone-making,database-only,Pass,95,유지,
home-guest-ready-routine,database-only,Pass,95,유지,
home-home-noise-control,database-only,Pass,95,유지,
home-home-scent-choice,database-only,Pass,95,유지,
home-household-stock-check,database-only,Pass,95,유지,
home-kitchen-counter-reset,database-only,Pass,95,유지,
home-livingroom-reset,database-only,Pass,95,유지,
home-seasonal-decor-storage,database-only,Pass,95,유지,
home-storage-box-labeling,database-only,Pass,95,유지,
home-toolbox-arrangement,database-only,Pass,95,유지,
home-window-cleaning-timing,database-only,Pass,95,유지,
ice-cup-choice-iOtX,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
jjimdak-vs-chicken-mbti-test-KN2X,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB question count low: 6 | P1 DB thin result rows: 15 | P2 DB test description too short
keyboard-shortcut-use-C1SK,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
late-night-delivery-reason-L6od,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
learn-break-timer-wave4,database-only,Pass,95,유지,
learn-concept-map-wave4,database-only,Pass,95,유지,
learn-deadline-study-wave4,database-only,Pass,95,유지,
learn-exam-plan-wave4,database-only,Pass,95,유지,
learn-flashcard-use-wave4,database-only,Pass,95,유지,
learn-group-study-wave4,database-only,Pass,95,유지,
learn-learning-goal-wave4,database-only,Pass,95,유지,
learn-lecture-speed-wave4,database-only,Pass,95,유지,
learn-note-style-wave4,database-only,Pass,95,유지,
learn-online-course-wave4,database-only,Pass,95,유지,
learn-question-mark-wave4,database-only,Pass,95,유지,
learn-reading-highlight-wave4,database-only,Pass,95,유지,
learn-resource-save-wave4,database-only,Pass,95,유지,
learn-review-cycle-wave4,database-only,Pass,95,유지,
learn-skill-practice-wave4,database-only,Pass,95,유지,
learn-study-finish-wave4,database-only,Pass,95,유지,
learn-study-place-wave4,database-only,Pass,95,유지,
learn-study-start-wave4,database-only,Pass,95,유지,
learn-teacher-feedback-wave4,database-only,Pass,95,유지,
leftovers-reheat-method-pgS7,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
leisure-book-stack-wave4,database-only,Pass,95,유지,
leisure-club-fit-wave4,database-only,Pass,95,유지,
leisure-concert-prep-wave4,database-only,Pass,95,유지,
leisure-craft-start-wave4,database-only,Pass,95,유지,
leisure-creative-block-wave4,database-only,Pass,95,유지,
leisure-diary-deco-wave4,database-only,Pass,95,유지,
leisure-game-mode-wave4,database-only,Pass,95,유지,
leisure-hobby-budget-wave4,database-only,Pass,95,유지,
leisure-home-cafe-wave4,database-only,Pass,95,유지,
leisure-learning-kit-wave4,database-only,Pass,95,유지,
leisure-movie-pick-wave4,database-only,Pass,95,유지,
leisure-museum-pace-wave4,database-only,Pass,95,유지,
leisure-photo-walk-wave4,database-only,Pass,95,유지,
leisure-playlist-mood-wave4,database-only,Pass,95,유지,
leisure-puzzle-style-wave4,database-only,Pass,95,유지,
leisure-recipe-try-wave4,database-only,Pass,95,유지,
leisure-solo-time-wave4,database-only,Pass,95,유지,
leisure-travel-video-wave4,database-only,Pass,95,유지,
leisure-walking-route-wave4,database-only,Pass,95,유지,
leisure-weekend-plan-wave4,database-only,Pass,95,유지,
life-appliance-spot-wave5,database-only,Pass,95,유지,
life-balcony-use-wave5,database-only,Pass,95,유지,
life-bin-position-wave5,database-only,Pass,95,유지,
life-candle-light-wave5,database-only,Pass,95,유지,
life-container-choice-wave5,database-only,Pass,95,유지,
life-cup-wash-wave5,database-only,Pass,95,유지,
life-curtain-open-wave5,database-only,Pass,95,유지,
life-diffuser-spot-wave5,database-only,Pass,95,유지,
life-dryrack-use-wave5,database-only,Pass,95,유지,
life-foodscrap-bin-wave5,database-only,Pass,95,유지,
life-frame-spot-wave5,database-only,Pass,95,유지,
life-furniture-layout-wave5,database-only,Pass,95,유지,
life-humidifier-care-wave5,database-only,Pass,95,유지,
life-laundromat-visit-wave5,database-only,Pass,95,유지,
life-laundry-drying-wave5,database-only,Pass,95,유지,
life-mail-sort-wave5,database-only,Pass,95,유지,
life-mug-pick-wave5,database-only,Pass,95,유지,
life-paperbag-keep-wave5,database-only,Pass,95,유지,
life-recycle-sort-wave5,database-only,Pass,95,유지,
life-rug-care-wave5,database-only,Pass,95,유지,
life-slipper-pair-wave5,database-only,Pass,95,유지,
life-socks-fold-wave5,database-only,Pass,95,유지,
life-spice-shelf-wave5,database-only,Pass,95,유지,
life-vacuum-route-wave5,database-only,Pass,95,유지,
life-water-filter-wave5,database-only,Pass,95,유지,
map-route-selection-7Ri3,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
meal-bread-morning-wave6,database-only,Pass,95,유지,
meal-coffee-after-wave6,database-only,Pass,95,유지,
meal-cooking-mood-wave6,database-only,Pass,95,유지,
meal-delivery-order-wave6,database-only,Pass,95,유지,
meal-dish-order-wave6,database-only,Pass,95,유지,
meal-egg-style-wave6,database-only,Pass,95,유지,
meal-fridge-meal-wave6,database-only,Pass,95,유지,
meal-fruit-end-wave6,database-only,Pass,95,유지,
meal-leftover-keep-wave6,database-only,Pass,95,유지,
meal-lunchbox-pack-wave6,database-only,Pass,95,유지,
meal-meal-photo-wave6,database-only,Pass,95,유지,
meal-meal-prep-wave6,database-only,Pass,95,유지,
meal-new-recipe-wave6,database-only,Pass,95,유지,
meal-noodle-night-wave6,database-only,Pass,95,유지,
meal-plate-arrange-wave6,database-only,Pass,95,유지,
meal-restaurant-pick-wave6,database-only,Pass,95,유지,
meal-rice-ratio-wave6,database-only,Pass,95,유지,
meal-sauce-mix-wave6,database-only,Pass,95,유지,
meal-share-plate-wave6,database-only,Pass,95,유지,
meal-solo-meal-mood-wave6,database-only,Pass,95,유지,
meal-soup-or-stew-wave6,database-only,Pass,95,유지,
meal-spice-rack-wave6,database-only,Pass,95,유지,
meal-spicy-tolerance-wave6,database-only,Pass,95,유지,
meal-sweet-after-wave6,database-only,Pass,95,유지,
meal-takeout-frequency-wave6,database-only,Pass,95,유지,
mood-anger-diary-wave5,database-only,Pass,95,유지,
mood-anger-signal-wave5,database-only,Pass,95,유지,
mood-burden-sign-wave5,database-only,Pass,95,유지,
mood-comfort-food-wave5,database-only,Pass,95,유지,
mood-comfort-music-wave5,database-only,Pass,95,유지,
mood-compliment-give-wave5,database-only,Pass,95,유지,
mood-envy-deal-wave5,database-only,Pass,95,유지,
mood-fear-signal-wave5,database-only,Pass,95,유지,
mood-heart-alarm-wave5,database-only,Pass,95,유지,
mood-heart-empty-wave5,database-only,Pass,95,유지,
mood-ignored-feel-wave5,database-only,Pass,95,유지,
mood-jealous-hold-wave5,database-only,Pass,95,유지,
mood-lonely-time-wave5,database-only,Pass,95,유지,
mood-longing-hold-wave5,database-only,Pass,95,유지,
mood-name-feel-wave5,database-only,Pass,95,유지,
mood-new-start-wave5,database-only,Pass,95,유지,
mood-refusal-feel-wave5,database-only,Pass,95,유지,
mood-regret-sort-wave5,database-only,Pass,95,유지,
mood-relief-feel-wave5,database-only,Pass,95,유지,
mood-self-accept-wave5,database-only,Pass,95,유지,
mood-self-boast-wave5,database-only,Pass,95,유지,
mood-share-with-wave5,database-only,Pass,95,유지,
mood-thanks-diary-wave5,database-only,Pass,95,유지,
mood-thrill-show-wave5,database-only,Pass,95,유지,
mood-warm-words-wave5,database-only,Pass,95,유지,
museum-route-style-tXqh,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
music-album-cover-wave6,database-only,Pass,95,유지,
music-bluetooth-speaker-wave6,database-only,Pass,95,유지,
music-chart-check-wave6,database-only,Pass,95,유지,
music-concert-photo-wave6,database-only,Pass,95,유지,
music-cover-listen-wave6,database-only,Pass,95,유지,
music-festival-go-wave6,database-only,Pass,95,유지,
music-genre-explore-wave6,database-only,Pass,95,유지,
music-headphone-pick-wave6,database-only,Pass,95,유지,
music-instrumental-pref-wave6,database-only,Pass,95,유지,
music-karaoke-list-wave6,database-only,Pass,95,유지,
music-live-stream-wave6,database-only,Pass,95,유지,
music-lyrics-read-wave6,database-only,Pass,95,유지,
music-mood-playlist-wave6,database-only,Pass,95,유지,
music-new-album-wave6,database-only,Pass,95,유지,
music-podcast-mix-wave6,database-only,Pass,95,유지,
music-radio-pick-wave6,database-only,Pass,95,유지,
music-sleep-music-wave6,database-only,Pass,95,유지,
music-solo-concert-wave6,database-only,Pass,95,유지,
music-song-recommend-wave6,database-only,Pass,95,유지,
music-song-share-wave6,database-only,Pass,95,유지,
music-study-bgm-wave6,database-only,Pass,95,유지,
music-throwback-play-wave6,database-only,Pass,95,유지,
music-vinyl-listen-wave6,database-only,Pass,95,유지,
music-work-music-wave6,database-only,Pass,95,유지,
music-workout-music-wave6,database-only,Pass,95,유지,
neighborhood-walk-route-yT-w,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
noodle-topping-extra-rAn3,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
notification-badge-clearing-mkq4,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
outing-bus-or-subway-wave6,database-only,Pass,95,유지,
outing-card-or-cash-wave6,database-only,Pass,95,유지,
outing-dust-check-wave6,database-only,Pass,95,유지,
outing-earlier-leave-wave6,database-only,Pass,95,유지,
outing-earphone-pick-wave6,database-only,Pass,95,유지,
outing-forecast-glance-wave6,database-only,Pass,95,유지,
outing-gas-shutoff-wave6,database-only,Pass,95,유지,
outing-leave-checklist-wave6,database-only,Pass,95,유지,
outing-lights-off-wave6,database-only,Pass,95,유지,
outing-lipbalm-pack-wave6,database-only,Pass,95,유지,
outing-map-preset-wave6,database-only,Pass,95,유지,
outing-mask-pack-wave6,database-only,Pass,95,유지,
outing-meeting-cafe-wave6,database-only,Pass,95,유지,
outing-meeting-park-wave6,database-only,Pass,95,유지,
outing-mirror-final-wave6,database-only,Pass,95,유지,
outing-parking-find-wave6,database-only,Pass,95,유지,
outing-public-bench-wave6,database-only,Pass,95,유지,
outing-return-route-wave6,database-only,Pass,95,유지,
outing-small-coin-wave6,database-only,Pass,95,유지,
outing-snack-bag-wave6,database-only,Pass,95,유지,
outing-solo-outing-wave6,database-only,Pass,95,유지,
outing-taxi-call-wave6,database-only,Pass,95,유지,
outing-umbrella-fold-wave6,database-only,Pass,95,유지,
outing-walk-pace-wave6,database-only,Pass,95,유지,
outing-water-bottle-wave6,database-only,Pass,95,유지,
parent-academy-pick-wave6,database-only,Pass,95,유지,
parent-allowance-set-wave6,database-only,Pass,95,유지,
parent-bath-time-kid-wave6,database-only,Pass,95,유지,
parent-bedtime-story-wave6,database-only,Pass,95,유지,
parent-bedtime-talk-wave6,database-only,Pass,95,유지,
parent-birthday-party-kid-wave6,database-only,Pass,95,유지,
parent-chore-share-wave6,database-only,Pass,95,유지,
parent-family-photo-wave6,database-only,Pass,95,유지,
parent-family-trip-plan-wave6,database-only,Pass,95,유지,
parent-health-checkup-kid-wave6,database-only,Pass,95,유지,
parent-homework-help-wave6,database-only,Pass,95,유지,
parent-lunchbox-kid-wave6,database-only,Pass,95,유지,
parent-morning-routine-kid-wave6,database-only,Pass,95,유지,
parent-museum-with-kid-wave6,database-only,Pass,95,유지,
parent-new-friend-kid-wave6,database-only,Pass,95,유지,
parent-pickup-time-wave6,database-only,Pass,95,유지,
parent-playdate-wave6,database-only,Pass,95,유지,
parent-praise-style-wave6,database-only,Pass,95,유지,
parent-reading-with-kid-wave6,database-only,Pass,95,유지,
parent-scolding-style-wave6,database-only,Pass,95,유지,
parent-screen-time-kid-wave6,database-only,Pass,95,유지,
parent-sibling-mediation-wave6,database-only,Pass,95,유지,
parent-snack-pick-kid-wave6,database-only,Pass,95,유지,
parent-teacher-meet-wave6,database-only,Pass,95,유지,
parent-theme-park-wave6,database-only,Pass,95,유지,
password-reset-reaction-_VrE,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
pen-choice-style-PDX4,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
pet-away-prep-wave6,database-only,Pass,95,유지,
pet-barking-handle-wave6,database-only,Pass,95,유지,
pet-bath-cycle-wave6,database-only,Pass,95,유지,
pet-brush-time-wave6,database-only,Pass,95,유지,
pet-clean-bed-wave6,database-only,Pass,95,유지,
pet-dental-care-pet-wave6,database-only,Pass,95,유지,
pet-kibble-pick-wave6,database-only,Pass,95,유지,
pet-leash-type-wave6,database-only,Pass,95,유지,
pet-litter-clean-wave6,database-only,Pass,95,유지,
pet-nail-trim-wave6,database-only,Pass,95,유지,
pet-new-toy-wave6,database-only,Pass,95,유지,
pet-pet-insurance-wave6,database-only,Pass,95,유지,
pet-pet-name-call-wave6,database-only,Pass,95,유지,
pet-pet-photo-wave6,database-only,Pass,95,유지,
pet-sleep-spot-wave6,database-only,Pass,95,유지,
pet-socialize-wave6,database-only,Pass,95,유지,
pet-stay-home-pet-wave6,database-only,Pass,95,유지,
pet-toy-rotate-wave6,database-only,Pass,95,유지,
pet-training-line-wave6,database-only,Pass,95,유지,
pet-treat-give-wave6,database-only,Pass,95,유지,
pet-vaccine-schedule-wave6,database-only,Pass,95,유지,
pet-vet-checkup-wave6,database-only,Pass,95,유지,
pet-walk-route-wave6,database-only,Pass,95,유지,
pet-walk-time-wave6,database-only,Pass,95,유지,
pet-wet-or-dry-wave6,database-only,Pass,95,유지,
phone-home-screen-priority-rTYp,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
photo-album-sorting-XSRL,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
photo-backup-timing-0Ztt,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
picnic-menu-packing-NJP5,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
playlist-ordering-style-OJGZ,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
presentation-rehearsal-style-PwN_,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
read-audiobook-listen-wave6,database-only,Pass,95,유지,
read-bedtime-read-wave6,database-only,Pass,95,유지,
read-book-cover-wave6,database-only,Pass,95,유지,
read-bookclub-join-wave6,database-only,Pass,95,유지,
read-bookmark-pick-wave6,database-only,Pass,95,유지,
read-bookshelf-style-wave6,database-only,Pass,95,유지,
read-bookstore-walk-wave6,database-only,Pass,95,유지,
read-commute-read-wave6,database-only,Pass,95,유지,
read-ebook-vs-paper-wave6,database-only,Pass,95,유지,
read-essay-pick-wave6,database-only,Pass,95,유지,
read-finish-rate-wave6,database-only,Pass,95,유지,
read-foreign-novel-wave6,database-only,Pass,95,유지,
read-genre-fiction-wave6,database-only,Pass,95,유지,
read-gift-book-wave6,database-only,Pass,95,유지,
read-highlight-note-wave6,database-only,Pass,95,유지,
read-history-book-wave6,database-only,Pass,95,유지,
read-index-card-wave6,database-only,Pass,95,유지,
read-library-borrow-wave6,database-only,Pass,95,유지,
read-multi-book-wave6,database-only,Pass,95,유지,
read-reading-cafe-wave6,database-only,Pass,95,유지,
read-recommend-book-wave6,database-only,Pass,95,유지,
read-reread-fav-wave6,database-only,Pass,95,유지,
read-self-help-wave6,database-only,Pass,95,유지,
read-short-story-wave6,database-only,Pass,95,유지,
read-used-book-wave6,database-only,Pass,95,유지,
relation-awkward-silence-handling,database-only,Pass,95,유지,
relation-awkward-talk-wave4,database-only,Pass,95,유지,
relation-birthday-call-wave4,database-only,Pass,95,유지,
relation-birthday-message-tone,database-only,Pass,95,유지,
relation-borrowed-item-return,database-only,Pass,95,유지,
relation-comfort-message-style,database-only,Pass,95,유지,
relation-comfort-style-wave4,database-only,Pass,95,유지,
relation-compliment-accept-wave4,database-only,Pass,95,유지,
relation-conflict-cooldown,database-only,Pass,95,유지,
relation-conflict-cooldown-wave4,database-only,Pass,95,유지,
relation-first-meeting-wave4,database-only,Pass,95,유지,
relation-friend-boundary-wave4,database-only,Pass,95,유지,
relation-gift-card-writing,database-only,Pass,95,유지,
relation-gift-reaction-wave4,database-only,Pass,95,유지,
relation-group-chat-tone-wave4,database-only,Pass,95,유지,
relation-inside-joke-usage,database-only,Pass,95,유지,
relation-invitation-reply-wave4,database-only,Pass,95,유지,
relation-invitation-response,database-only,Pass,95,유지,
relation-late-reply-handling,database-only,Pass,95,유지,
relation-meeting-new-friend,database-only,Pass,95,유지,
relation-memory-sharing-style,database-only,Pass,95,유지,
